"species"	"species2"	"author"	"group"	"thorax"	"thor_vol"	"onum"	"egg_vol"	"major"	"minor"	"prop"	"dors"	"tf_num"	"tfc_tf"	"total_tfc"
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	1.76	5.451776	25	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	2	8	26	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	NA	NA	NA	NA	NA	NA	NA	NA	12	7.4	88.8
"Drosophila_mimica"	"Drosophila_mimica"	"Sari"	"mouth"	NA	NA	NA	NA	NA	NA	NA	NA	10	7.6	76
"Drosophila_mitchelli"	"Drosophila_mitchelli"	"Sari"	"mouth"	1.66	4.574296	22	0.01349739698	0.29642	0.10416	0.00295070476	0.36	NA	NA	NA
"Drosophila_mitchelli"	"Drosophila_mitchelli"	"Sari"	"mouth"	1.93	7.189057	21	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_mitchelli"	"Drosophila_mitchelli"	"Sari"	"mouth"	1.94	7.301384	24	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_mitchelli"	"Drosophila_mitchelli"	"Sari"	"mouth"	NA	NA	NA	NA	NA	NA	NA	NA	12	7.4	88.8
"Drosophila_mitchelli"	"Drosophila_mitchelli"	"Sari"	"mouth"	NA	NA	NA	NA	NA	NA	NA	NA	11	8.2	90.2
"Drosophila_murphyi"	"Drosophila_murphyi"	"Kamb"	"pna"	2.43	14.348907	41.57	0.021	NA	NA	0.001463526107	NA	NA	NA	NA
"Drosophila_nanella"	"Drosophila_nanella"	"Sari"	"mouth"	0.95	0.857375	8	0.01563022222	0.3733333333	0.1	0.01823032188	1.19	NA	NA	NA
"Drosophila_nanella"	"Drosophila_nanella"	"Sari"	"mouth"	0.99	0.970299	10	0.01578931556	0.3533333333	0.1033333333	0.01627262891	1.19	NA	NA	NA
"Drosophila_nanella"	"Drosophila_nanella"	"Sari"	"mouth"	1.11	1.367631	12	0.01632590667	0.37	0.1025	0.01193736225	0.86	NA	NA	NA
"Drosophila_nanella"	"Drosophila_nanella"	"Sari"	"mouth"	1.06	1.191016	15	0.01653733333	0.395	0.1	0.01388506395	0.85	NA	NA	NA
"Drosophila_neopicta"	"Drosophila_neopicta"	"Sari"	"pna"	2.59	17.373979	37	0.02298619556	0.5133333333	0.1033333333	0.001323024251	NA	NA	NA	NA
"Drosophila_neopicta"	"Drosophila_neopicta"	"Sari"	"pna"	2.29	12.008989	34	0.02380203472	0.4975	0.106875	0.001982018197	1.98	NA	NA	NA
"Drosophila_neutralis"	"Drosophila_neutralis"	"Sari"	"amc"	1.46	3.112136	17	0.02126104969	0.3876	0.1144	0.006831658285	1.02	NA	NA	NA
"Drosophila_neutralis"	"Drosophila_neutralis"	"Sari"	"amc"	1.52	3.511808	14	0.0281832849	0.37625	0.13365	0.008025292072	0.87	NA	NA	NA
"Drosophila_neutralis"	"Drosophila_neutralis"	"Sari"	"amc"	1.45	3.048625	13	0.03025931001	0.3998	0.1344	0.009925559887	0.84	NA	NA	NA
"Drosophila_neutralis"	"Drosophila_neutralis"	"Sari"	"amc"	1.4	2.744	15	0.03264945066	0.3956666667	0.1403333333	0.01189848785	0.86	NA	NA	NA
"Drosophila_nigella"	"Drosophila_nigella"	"Sari"	"hale"	1.73	5.177717	40	0.01375597995	0.33	0.0998	0.002656765511	0.16	NA	NA	NA
"Drosophila_nigella"	"Drosophila_nigella"	"Sari"	"hale"	1.91	6.967871	41	0.0141863944	0.335	0.1005	0.002035972595	0.17	NA	NA	NA
"Drosophila_nigella"	"Drosophila_nigella"	"Sari"	"hale"	1.93	7.189057	34	0.01764596267	0.324	0.114	0.002454558737	0.17	NA	NA	NA
"Drosophila_nigribasis"	"Drosophila_nigribasis"	"Kamb"	"pna"	2.98	26.463592	53.33	0.0314	NA	NA	0.001186535826	NA	NA	NA	NA
"Drosophila_nr_residua"	"Drosophila_nr_residua"	"Sari"	"mouth"	1.31	2.248091	14	0.01804244	0.39	0.105	0.008025671559	0.77	NA	NA	NA
"Drosophila_nr_residua"	"Drosophila_nr_residua"	"Sari"	"mouth"	1.28	2.097152	16	0.01850506667	0.4	0.105	0.008823903403	0.69	NA	NA	NA
"Drosophila_nr_residua"	"Drosophila_nr_residua"	"Sari"	"mouth"	1.2	1.728	13	0.01927597155	0.3786666667	0.11	0.01115507613	1.19	NA	NA	NA
"Drosophila_nr_residua"	"Drosophila_nr_residua"	"Sari"	"mouth"	1.18	1.643032	15	0.02333857334	0.355	0.125	0.01420457626	0.68	NA	NA	NA
"Drosophila_nr_residua"	"Drosophila_nr_residua"	"Sari"	"mouth"	1.32	2.299968	13	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_ochracea"	"Drosophila_ochracea"	"Kamb"	"pna"	2.4	13.824	38	0.0252	NA	NA	0.001822916667	NA	NA	NA	NA
"Drosophila_ochracea"	"Drosophila_ochracea"	"Sari"	"pna"	2.3	12.167	29	0.03094841776	0.4962	0.122	0.002543635881	2.63	NA	NA	NA
"Drosophila_papaalai"	"Drosophila_papaalai"	"Sari"	"pna"	1.12	1.404928	14	NA	NA	NA	NA	NA	NA	NA	NA
"Drosophila_pectinitarsus"	"Drosophila_pectinitarsus"	"Kamb"	"amc"	1.26	2.000376	12.42	0.0175	NA	NA	0.008748355309	NA	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.29	2.146689	17	0.01637027068	0.3585	0.1045	0.007625823154	0.58	NA	NA	NA
"Drosophila_percnosoma"	"Drosophila_percnosoma"	"Sari"	"amc"	1.47	3.176523	14	0.03400323026	0.461	0.1326666667	NA	0.9	NA	NA	NA
